0.1,10-03-2024,Prima stesura,Nancy Kalaj,Programmatore,Riccardo Toniolo
0.2,15-03-2024,Aggiunti dettagli alla dashboard Urbanistica,Nancy Kalaj,Programmatore,Riccardo Toniolo
0.3,18-03-2024,Aggiunte sezioni relative alla dashboard dati grezzi e dashboard soglie,Nancy Kalaj,Programmatore,"Simone Caregnato, Riccardo Costantin"
0.4,30-03-2024,Completamente fasi installazione,Matteo Rango,Amministratore,Nancy Kalaj
0.5,31-03-2024,Aggiunti screenshot e sezione Allerte,Nancy Kalaj,Programmatore,"Simone Caregnato"
1.0,04-04-2024,Approvazione finale,Riccardo Toniolo,Responsabile,""
