0.1,21-02-2024,"Creazione del documento, impostazione dei grafici, discussione delle tecnologie, creazione parte introduttiva","Riccardo Toniolo, Giacomo D'Ovidio",Progettista,"Simone Caregnato"
0.2,4-03-2024,"Stesura sezioni: Tecnologie, Architettura del sistema","Riccardo Toniolo, Giacomo D'Ovidio, Riccardo Alberto Costantin",Progettista,"Simone Caregnato"
0.3,05-03-2024,"Stesura sezione Database", Simone Caregnato,Progettista,Riccardo Toniolo
0.4,18-03-2024,"Ridefinizione sezione Architettura dei simulatori", Nancy Kalaj,Progettista,Riccardo Toniolo
